Date,Beef,Whole chicken,Milk,Eggs,Potatoes,Roasted or ground coffee,Baby food,Infant formula,Shampoo,Laundry detergent,Gas
17-Jan,17.05,5.15,5.13,3.01,2.99,4.59,1.19,27.22,4.94,13.27,112.2
17-Feb,17.14,4.99,5.15,3.04,2.96,4.95,1.23,27.11,4.88,13.05,106.5
17-Mar,18.41,5.45,5.15,3.06,2.97,5.23,1.29,27.09,4.99,13.4,106
17-Apr,15.69,5.59,5.12,3.09,3.03,4.95,1.36,27.2,5.17,11.45,116.1
17-May,18.21,5.14,5.12,3.11,3.14,4.71,1.36,27.23,5.15,12.43,110.9
17-Jun,18.63,5.58,5.11,3.15,3.35,5.17,1.32,27.92,5,12.78,106.5
17-Jul,18.78,5.94,5.11,3.12,3.41,4.74,1.25,27.71,5.03,12.51,107
17-Aug,18.02,6.21,5.11,3.11,3.26,5.02,1.29,27.4,5.03,11.74,109.7
17-Sep,18.09,5.76,5.12,3.11,3.08,4.83,1.3,27.83,5.02,12.91,116
17-Oct,15.39,5.81,5.13,3.13,3.03,4.84,1.28,27.94,5,11.68,112.4
17-Nov,16.88,5.11,5.14,3.24,3.26,4.83,1.27,27.73,5.15,12.75,120.8
17-Dec,14.33,5.13,5.14,3.15,3.29,5.12,1.28,27.52,5.11,11.65,116.9
18-Jan,16.2,5.6,5.13,3.2,3.35,4.95,1.27,27.79,5.11,13.51,120.6
18-Feb,17.6,5.19,5.15,3.26,3.36,5.21,1.27,26.89,4.98,12.22,119.7
18-Mar,16.75,5.62,5.14,3.28,3.51,4.93,1.22,27.44,4.93,13.03,123.1
18-Apr,16.33,5.48,5.14,3.27,3.57,5.22,1.27,27.24,4.84,12.28,131.6
18-May,17.19,5.13,5.15,3.12,3.6,4.94,1.29,27.92,5.03,12.89,135.9
18-Jun,16.86,5.19,5.11,3.39,3.67,5,1.26,28.13,5.12,11.86,132.9
18-Jul,18.28,5.22,5.11,3.13,3.69,5.09,1.26,27.58,5.14,12.17,133.9
18-Aug,16.68,5.44,5.13,3.36,3.75,5.2,1.29,28.35,5.06,12.36,131.8
18-Sep,17.32,5.86,5.32,3.29,3.62,5.01,1.26,28.65,4.83,11.89,130.4
18-Oct,15.93,5.48,5.31,3.23,3.58,5.14,1.27,29.02,5.08,12.02,125.9
18-Nov,17,5.17,5.29,3.42,3.52,5.09,1.29,29.88,5.21,12.59,113.8
18-Dec,14.78,5.93,5.31,3.42,3.63,5.09,1.32,29.71,5.32,11.93,106.4
19-Jan,17.38,5.75,5.29,3.3,3.63,5.31,1.33,29.86,5.27,13.54,103.1
19-Feb,17.54,5.19,5.29,3.38,3.72,5.14,1.33,29.41,5.12,12.37,105.1
19-Mar,18.74,5.23,5.25,3.32,3.91,4.88,1.31,29.92,5.1,11.86,117.7
19-Apr,16.54,5.5,5.24,3.37,3.92,5.15,1.28,29.31,5.36,12.79,129.5
19-May,18.94,5.27,5.24,3.41,4.05,5.26,1.29,29.14,5.07,12.19,130.7
19-Jun,18.14,5.24,5.2,3.47,4.09,5.2,1.35,29.29,5.11,12.26,119.9
19-Jul,17.38,5.43,5.18,3.31,4.04,5.28,1.37,28.98,5.19,12.81,124.4
19-Aug,17.54,5.23,5.21,3.35,4.23,5.34,1.31,29.11,5.02,11.88,117.9
19-Sep,16.95,5.08,5.21,3.38,4.22,5.2,1.29,28.99,5.05,11.88,116.9
19-Oct,15.7,5.74,5.21,3.43,4.13,5.23,1.37,28.93,5.08,13.04,117.2
19-Nov,17.35,4.96,5.22,3.5,4.07,5.05,1.3,29.47,5.16,10.62,115
19-Dec,15.39,5.77,5.24,3.6,4.09,5.31,1.33,29.52,5,11.77,114.5
20-Jan,18.08,5.5,5.26,3.45,3.85,5.32,1.32,29.2,5.37,12.59,114.6
20-Feb,18.39,5.37,5.34,3.58,3.87,5.33,1.31,30.17,5.08,11.06,112.2
20-Mar,18.74,5.65,5.39,3.53,4.08,5.47,1.35,29.97,5.25,12.94,91.3
20-Apr,17.14,5.32,5.42,3.71,4.21,5.44,1.43,29.44,5.27,13.72,77.8
20-May,20.88,5.44,5.36,3.7,4.39,5.42,1.33,29.56,5.37,12.76,91.4
20-Jun,24.15,5.35,5.36,3.7,4.35,5.27,1.32,30,5.41,13.75,101
20-Jul,20.62,5.75,5.33,3.77,4.39,5.57,1.36,29.55,5.23,13.76,105.5
20-Aug,20.31,6.08,5.31,3.82,4.2,5.6,1.36,29.68,5.24,12.36,104.6
20-Sep,17.35,5.18,5.33,3.84,4.12,5.41,1.35,29.36,5.16,13.05,104.1
20-Oct,17.09,5.73,5.34,3.85,3.95,5.36,1.34,29.34,5.16,13.18,102.6
20-Nov,19.2,5.17,5.33,3.86,3.89,5.15,1.34,29.07,5.23,13.85,101.1
20-Dec,16.35,6.54,5.34,3.85,4.15,5.39,1.32,29.32,5.38,13.2,104.4
21-Jan,19.61,5.19,5.36,3.86,4.28,5.48,1.33,29.58,5.33,13.8,111
21-Feb,18.54,5.55,5.52,3.91,4.25,5.62,1.34,29.66,5.16,13.46,118.2
21-Mar,19.17,5.18,5.51,4.05,4.22,5.23,1.34,30.38,5.25,13.28,125
21-Apr,19.54,6.2,5.5,4.07,4.22,5.37,1.34,30.87,5.37,12.94,127.5
21-May,20.26,5.63,5.52,4,4.33,5.54,1.34,30.8,5.52,12.48,131.5
21-Jun,20.81,5.13,5.51,4.05,4.22,5.7,1.37,30.72,5.57,13.13,133.7
21-Jul,21.6,6.43,5.5,3.82,4.28,5.58,1.38,31.64,5.38,13.27,138.4
21-Aug,22.01,6.18,5.49,4.13,4.2,5.45,1.39,30.94,5.49,13.48,139
21-Sep,21.55,5.65,5.5,3.99,4.2,5.57,1.36,30.86,5.67,13.15,138.9
21-Oct,20.29,6.17,5.5,4.17,4.2,5.35,1.35,29.91,5.74,13.68,146
21-Nov,23.09,5.91,5.51,4.03,4.13,5.33,1.34,30.38,5.81,12.59,145.8
21-Dec,19.45,6.61,5.54,3.95,4.21,5.57,1.36,29.95,5.81,13.74,140
22-Jan,23.23,5.87,5.54,3.91,4.14,5.71,1.36,29.62,5.9,14.05,146.6
22-Feb,23.74,5.65,5.98,4.07,4.21,5.98,1.36,29.15,5.65,14.09,156.8
22-Mar,24.07,5.55,6.02,4.19,4.13,5.83,1.39,28.83,5.68,15.24,175.2
22-Apr,22.65,5.66,6.04,4.04,4.18,6,1.4,29.95,5.75,14.47,173.8
22-May,21.91,5.75,6.03,4.24,4.64,6.03,1.4,32.02,5.86,14.97,194.8
22-Jun,21.63,5.93,6,4.19,4.87,6.16,1.41,31.98,5.95,14.95,207.2
